taxonID,scientificNameID,scientificName,acceptedNameUsage,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID
ABCO,NCBI:txid97173,"Abies concolor (Gordon & Glend.) Lindl. Ex Hildebr., 1861",Abies concolor,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Abies,,concolor,,species,"(Gordon & Glend.) Lindl. Ex Hildebr., 1861",white fir,NCBI,accepted,,,,,,,,,,,,,,
Abies sp.,NCBI:txid3319,"Abies Mill., 1784",Abies,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Abies,,,,genus,"Mill., 1784",true firs,NCBI,accepted,,,,,,,,,,,,,,
ABMA,NCBI:txid3320,"Abies magnifica A. Murray bis, 1863",Abies magnifica,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Abies,,magnifica,,species,"A. Murray bis, 1863",red fir,NCBI,accepted,,,,,,,,,,,,,,
ACMA,NCBI:txid66211,"Acer macrophyllum Pursh, 1813",Acer macrophyllum,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,,macrophyllum,,species,"Pursh, 1813",big leaf maple,NCBI,accepted,,,,,,,,,,,,,,
CADE,NCBI:txid13387,"Calocedrus decurrens (Torr.) Florin, 1956",Calocedrus decurrens,Viridiplantae,Streptophyta,Pinopsida,Cupressales,Cupressaceae,Calocedrus,,decurrens,,species,"(Torr.) Florin, 1956",California incense-cedar,NCBI,accepted,,,,,,,,,,,,,,
JUOC,NCBI:txid114265,"Juniperus occidentalis Hook., 1838",Juniperus occidentalis,Viridiplantae,Streptophyta,Pinopsida,Cupressales,Cupressaceae,Juniperus,,occidentalis,,species,"Hook., 1838",western juniper,NCBI,accepted,,,,,,,,,,,,,,
PICO,NCBI:txid3339,"Pinus contorta Douglas ex Loudon, 1838",Pinus contorta,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus (Pinus),contorta,,species,"Douglas ex Loudon, 1838",lodgepole pine,NCBI,accepted,,,,,,,,,,,,,,
PIJE,NCBI:txid55061,"Pinus jeffreyi Balf., 1853",Pinus jeffreyi,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus (Pinus),jeffreyi,,species,"Balf., 1853",Jeffrey pine,NCBI,accepted,,,,,,,,,,,,,,
PILA,NCBI:txid3343,"Pinus lambertiana Douglas, 1827",Pinus lambertiana,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Strobus (Pinus),lambertiana,,species,"Douglas, 1827",sugar pine,NCBI,accepted,,,,,,,,,,,,,,
Pinales,NCBI:txid1446380,"Pinales Gorozh., 1904",Pinales ,Viridiplantae,Streptophyta,Pinopsida,Pinales,,,,,,order,"Gorozh., 1904",conifers,NCBI,accepted,,,,,,,,,,,,,,
PIPO,NCBI:txid55062,"Pinus ponderosa Douglas ex C.Lawson, 1836",Pinus ponderosa,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus (Pinus),ponderosa,,species,"Douglas ex C.Lawson, 1836",ponderosa pine,NCBI,accepted,,,,,,,,,,,,,,
PSME,NCBI:txid3357,"Pseudotsuga menziesii (Mirb.) Franco, 1950",Pseudotsuga menziesii,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pseudotsuga,,menziesii,,species,"(Mirb.) Franco, 1950",Douglas fir,NCBI,accepted,,,,,,,,,,,,,,
QUCH,NCBI:txid97695,"Quercus chrysolepis Liebm., 1854",Quercus chrysolepis,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,chrysolepis,,species,"Liebm., 1854",canyon live oak,NCBI,accepted,,,,,,,,,,,,,,
QUKE,NCBI:txid97698,"Quercus kelloggii Newb., 1858",Quercus kelloggii,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,kelloggii,,species,"Newb., 1858",black oak,NCBI,accepted,,,,,,,,,,,,,,
QUWI,NCBI:txid67830,"Quercus wislizeni A.DC., 1864",Quercus wislizeni,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,wislizeni,,species,"A.DC., 1864",interior live oak,NCBI,accepted,,,,,,,,,,,,,,
UMCA,NCBI:txid3438,"Umbellularia californica (Hook & Arn.,) Nutt., 1842",Umbellularia californica,Viridiplantae,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Umbellularia,,californica,,species,"Umbellularia californica (Hook & Arn.,) Nutt., 1842",California bay laurel,NCBI,accepted,,,,,,,,,,,,,,
